Name,Year,Rating,Liked,Watch Date,Runtime,Rewatched,Letterboxd URI
10 Cloverfield Lane,2016,4.5,,,,,https://letterboxd.com/film/10-cloverfield-lane/
21 Jump Street,2012,4.0,,,,,https://letterboxd.com/film/21-jump-street/
28 Days Later,2002,3.5,,,,,https://letterboxd.com/film/28-days-later/
28 Years Later,2025,4.0,,2025-09-14T00:00:00.000000Z,115,,https://letterboxd.com/film/28-years-later/
28 Years Later: The Bone Temple,2026,4.5,,2026-04-09T00:00:00.000000Z,109,,https://letterboxd.com/film/28-years-later-the-bone-temple/
[REC],2007,3.5,,2026-04-08T00:00:00.000000Z,78,,https://letterboxd.com/film/rec/
A House of Dynamite,2025,3.5,,,,,https://letterboxd.com/film/a-house-of-dynamite/
A Nightmare on Elm Street 3: Dream Warriors,1987,3.5,,,,,https://letterboxd.com/film/a-nightmare-on-elm-street-3-dream-warriors/
A Quiet Place,2018,4.5,,,,,https://letterboxd.com/film/a-quiet-place-2018/
A Quiet Place: Day One,2024,3.0,,,,,https://letterboxd.com/film/a-quiet-place-day-one/
Alien,1979,5.0,,,,,https://letterboxd.com/film/alien/
Alien: Romulus,2024,4.0,,,,,https://letterboxd.com/film/alien-romulus/
Anaconda,2025,2.5,,2026-03-29T00:00:00.000000Z,100,,https://letterboxd.com/film/anaconda-2025/
Anatomy of a Fall,2023,4.0,,,,,https://letterboxd.com/film/anatomy-of-a-fall/
Annihilation,2018,2.5,,,,,https://letterboxd.com/film/annihilation/
Ant-Man,2015,3.5,,,,,https://letterboxd.com/film/ant-man/
Apostle,2018,2.5,,2026-02-15T00:00:00.000000Z,129,,https://letterboxd.com/film/apostle-2018/
Arachnophobia,1990,4.0,,,,,https://letterboxd.com/film/arachnophobia/
Ash,2025,1.0,,2026-04-04T00:00:00.000000Z,95,,https://letterboxd.com/film/ash-2025/
Avatar: The Way of Water,2022,1.5,,,,,https://letterboxd.com/film/avatar-the-way-of-water/
Baby Driver,2017,4.0,,,,,https://letterboxd.com/film/baby-driver/
Backcountry,2014,2.0,,,,,https://letterboxd.com/film/backcountry/
Barbarian,2022,3.5,,,,,https://letterboxd.com/film/barbarian-2022/
Batman Begins,2005,4.0,,,,,https://letterboxd.com/film/batman-begins/
Behind the Mask: The Rise of Leslie Vernon,2006,4.0,,2026-02-24T00:00:00.000000Z,91,,https://letterboxd.com/film/behind-the-mask-the-rise-of-leslie-vernon/
Black Panther,2018,4.0,,,,,https://letterboxd.com/film/black-panther/
Black Sheep,2006,2.5,,2026-01-31T00:00:00.000000Z,86,,https://letterboxd.com/film/black-sheep-2006/
BlacKkKlansman,2018,5.0,,,,,https://letterboxd.com/film/blackkklansman/
Blade Runner 2049,2017,4.0,,,,,https://letterboxd.com/film/blade-runner-2049/
Bloodsport,1988,1.5,,,,,https://letterboxd.com/film/bloodsport/
